_id,_full_text,ID_UEV,CIVIQUE_DEBUT,CIVIQUE_FIN,NOM_RUE,SUITE_DEBUT,MUNICIPALITE,ETAGE_HORS_SOL,NOMBRE_LOGEMENT,ANNEE_CONSTRUCTION,CODE_UTILISATION,LETTRE_DEBUT,LETTRE_FIN,LIBELLE_UTILISATION,CATEGORIE_UEF,MATRICULE83,SUPERFICIE_TERRAIN,SUPERFICIE_BATIMENT,NO_ARROND_ILE_CUM
19149,"-000':19 '-0000':20 '-3':18 '-94':16 '-9739':17 '01027520':1 '1000':12 '1991':11 '265':21 '3':9 '31':10 '4010':2,3 '50':8 '716':22 '9842':15 'avenu':4 'chateaubriand':6 'de':5 'logement':13 'mtl':7 'rem21':23 'régulier':14",1027520,4010,4010,avenue De Chateaubriand  ,,50,3,31,1991,1000,,,Logement,Régulier,9842-94-9739-3-000-0000,265,716,Arrondissement du Plateau-Mont-Royal (Montréal)
19354,"-0':18 '-000':19 '-0000':20 '-6205':17 '-68':16 '01019082':1 '1000':12 '1910':11 '2312':2,3 '27':10 '2925':21 '2979':22 '3':9 '50':8 '9937':15 'centr':6 'du':5 'logement':13 'mtl':7 'rem20':23 'rue':4 'régulier':14",1019082,2312,2312,rue du Centre  ,,50,3,27,1910,1000,,,Logement,Régulier,9937-68-6205-0-000-0000,2925,2979,Arrondissement du Sud-Ouest (Montréal)
19516,"-000':19 '-0000':20 '-2':18 '-89':16 '-8975':17 '01032604':1 '1000':12 '1158':22 '2023':11 '2233':2,3 '26':10 '3':9 '50':8 '551':21 '9942':15 'champlain':6 'de':5 'logement':13 'mtl':7 'rem19':23 'rue':4 'régulier':14",1032604,2233,2233,rue De Champlain  ,,50,3,26,2023,1000,,,Logement,Régulier,9942-89-8975-2-000-0000,551,1158,Arrondissement de Ville-Marie (Montréal)
19551,"-000':18 '-0000':19 '-2':17 '-6849':16 '-78':15 '01022920':1 '1000':11 '1180':21 '1962':10 '24':9 '3':8 '3580':2,3 '50':7 '717':20 '9943':14 'fullum':5 'logement':12 'mtl':6 'rem21':22 'rue':4 'régulier':13",1022920,3580,3580,rue Fullum  ,,50,3,24,1962,1000,,,Logement,Régulier,9943-78-6849-2-000-0000,717,1180,Arrondissement du Plateau-Mont-Royal (Montréal)
19788,"-000':19 '-0000':20 '-53':16 '-6':18 '-9159':17 '01032435':1 '1000':12 '1965':11 '21':10 '3':9 '400':21 '50':8 '5230':2,3 '906':22 '9844':15 'avenu':4 'des':5 'logement':13 'mtl':7 'rem21':23 'régulier':14 'érabl':6",1032435,5230,5230,avenue des Érables  ,,50,3,21,1965,1000,,,Logement,Régulier,9844-53-9159-6-000-0000,400,906,Arrondissement du Plateau-Mont-Royal (Montréal)
20059,"-000':18 '-0000':19 '-4465':16 '-78':15 '-9':17 '01022922':1 '1000':11 '1180':21 '1962':10 '24':9 '3':8 '3600':2,3 '50':7 '711':20 '9943':14 'fullum':5 'logement':12 'mtl':6 'rem21':22 'rue':4 'régulier':13",1022922,3600,3600,rue Fullum  ,,50,3,24,1962,1000,,,Logement,Régulier,9943-78-4465-9-000-0000,711,1180,Arrondissement du Plateau-Mont-Royal (Montréal)
20271,"-000':18 '-0000':19 '-1':17 '-4692':16 '-48':15 '01032728':1 '1000':11 '1144':21 '1910':10 '20':9 '3':8 '4340':2,3 '50':7 '696':20 '9943':14 'logement':12 'mtl':6 'parthenai':5 'rem21':22 'rue':4 'régulier':13",1032728,4340,4340,rue Parthenais  ,,50,3,20,1910,1000,,,Logement,Régulier,9943-48-4692-1-000-0000,696,1144,Arrondissement du Plateau-Mont-Royal (Montréal)
20330,-000':19 '-0000':20 '-27':16 '-6892':17 '-7':18 '01028438':1 '1000':12 '1143':22 '1920':11 '20':10 '3':9 '50':8 '513':21 '6014':2 '6016':3 '9642':15 'avenu':4 'du':5 'logement':13 'mtl':7 'parc':6 'rem21':23 'régulier':14,1028438,6014,6016,avenue du Parc  ,,50,3,20,1920,1000,,,Logement,Régulier,9642-27-6892-7-000-0000,513,1143,Arrondissement du Plateau-Mont-Royal (Montréal)
20618,"-0':19 '-000':20 '-0000':21 '-5137':18 '-52':17 '01026924':1 '1000':13 '1635':23 '1966':12 '3440':2,3 '39':11 '4':10 '50':9 '511':22 '9942':16 'andré':7 'logement':14 'mtl':8 'rem21':24 'rue':4 'régulier':15 'saint':6 'saint-andré':5",1026924,3440,3440,rue Saint-André  ,,50,4,39,1966,1000,,,Logement,Régulier,9942-52-5137-0-000-0000,511,1635,Arrondissement du Plateau-Mont-Royal (Montréal)
20815,"-000':18 '-0000':19 '-78':15 '-8':17 '-9232':16 '01022918':1 '1000':11 '1180':21 '1962':10 '24':9 '3':8 '3560':2,3 '50':7 '723':20 '9943':14 'fullum':5 'logement':12 'mtl':6 'rem21':22 'rue':4 'régulier':13",1022918,3560,3560,rue Fullum  ,,50,3,24,1962,1000,,,Logement,Régulier,9943-78-9232-8-000-0000,723,1180,Arrondissement du Plateau-Mont-Royal (Montréal)
